Contact name input ▽,processing,,,,,,,,#1 Frame nodes,
Frame contact No.,X,Y,Z,接点名,３D,X,Y,Z,Top of upper level sandbag with foundation on top,
1199,19.350 ,1.800 ,0.000 ,      1199,        3D,    19.350,     1.800,     0.000,      1199        3D    19.350     1.800     0.000,
1200,19.800 ,1.800 ,0.000 ,      1200,        3D,    19.800,     1.800,     0.000,      1200        3D    19.800     1.800     0.000,
1201,0.000 ,9.000 ,0.000 ,      1201,        3D,     0.000,     9.000,     0.000,      1201        3D     0.000     9.000     0.000,
1202,0.450 ,9.000 ,0.000 ,      1202,        3D,     0.450,     9.000,     0.000,      1202        3D     0.450     9.000     0.000,
1203,0.900 ,9.000 ,0.000 ,      1203,        3D,     0.900,     9.000,     0.000,      1203        3D     0.900     9.000     0.000,
1204,1.350 ,9.000 ,0.000 ,      1204,        3D,     1.350,     9.000,     0.000,      1204        3D     1.350     9.000     0.000,
1205,1.800 ,9.000 ,0.000 ,      1205,        3D,     1.800,     9.000,     0.000,      1205        3D     1.800     9.000     0.000,
1206,6.000 ,9.000 ,0.000 ,      1206,        3D,     6.000,     9.000,     0.000,      1206        3D     6.000     9.000     0.000,
1207,6.450 ,9.000 ,0.000 ,      1207,        3D,     6.450,     9.000,     0.000,      1207        3D     6.450     9.000     0.000,
1208,6.900 ,9.000 ,0.000 ,      1208,        3D,     6.900,     9.000,     0.000,      1208        3D     6.900     9.000     0.000,
1209,7.350 ,9.000 ,0.000 ,      1209,        3D,     7.350,     9.000,     0.000,      1209        3D     7.350     9.000     0.000,
1210,7.800 ,9.000 ,0.000 ,      1210,        3D,     7.800,     9.000,     0.000,      1210        3D     7.800     9.000     0.000,
1211,12.000 ,9.000 ,0.000 ,      1211,        3D,    12.000,     9.000,     0.000,      1211        3D    12.000     9.000     0.000,
1212,12.450 ,9.000 ,0.000 ,      1212,        3D,    12.450,     9.000,     0.000,      1212        3D    12.450     9.000     0.000,
1213,12.900 ,9.000 ,0.000 ,      1213,        3D,    12.900,     9.000,     0.000,      1213        3D    12.900     9.000     0.000,
1214,13.350 ,9.000 ,0.000 ,      1214,        3D,    13.350,     9.000,     0.000,      1214        3D    13.350     9.000     0.000,
1215,13.800 ,9.000 ,0.000 ,      1215,        3D,    13.800,     9.000,     0.000,      1215        3D    13.800     9.000     0.000,
1216,18.000 ,9.000 ,0.000 ,      1216,        3D,    18.000,     9.000,     0.000,      1216        3D    18.000     9.000     0.000,
1217,18.450 ,9.000 ,0.000 ,      1217,        3D,    18.450,     9.000,     0.000,      1217        3D    18.450     9.000     0.000,
1218,18.900 ,9.000 ,0.000 ,      1218,        3D,    18.900,     9.000,     0.000,      1218        3D    18.900     9.000     0.000,
1219,19.350 ,9.000 ,0.000 ,      1219,        3D,    19.350,     9.000,     0.000,      1219        3D    19.350     9.000     0.000,
1220,19.800 ,9.000 ,0.000 ,      1220,        3D,    19.800,     9.000,     0.000,      1220        3D    19.800     9.000     0.000,
1221,0.000 ,9.450 ,0.000 ,      1221,        3D,     0.000,     9.450,     0.000,      1221        3D     0.000     9.450     0.000,
1222,0.450 ,9.450 ,0.000 ,      1222,        3D,     0.450,     9.450,     0.000,      1222        3D     0.450     9.450     0.000,
1223,0.900 ,9.450 ,0.000 ,      1223,        3D,     0.900,     9.450,     0.000,      1223        3D     0.900     9.450     0.000,
1224,1.350 ,9.450 ,0.000 ,      1224,        3D,     1.350,     9.450,     0.000,      1224        3D     1.350     9.450     0.000,
1225,1.800 ,9.450 ,0.000 ,      1225,        3D,     1.800,     9.450,     0.000,      1225        3D     1.800     9.450     0.000,
1226,6.000 ,9.450 ,0.000 ,      1226,        3D,     6.000,     9.450,     0.000,      1226        3D     6.000     9.450     0.000,
1227,6.450 ,9.450 ,0.000 ,      1227,        3D,     6.450,     9.450,     0.000,      1227        3D     6.450     9.450     0.000,
1228,6.900 ,9.450 ,0.000 ,      1228,        3D,     6.900,     9.450,     0.000,      1228        3D     6.900     9.450     0.000,
1229,7.350 ,9.450 ,0.000 ,      1229,        3D,     7.350,     9.450,     0.000,      1229        3D     7.350     9.450     0.000,
1230,7.800 ,9.450 ,0.000 ,      1230,        3D,     7.800,     9.450,     0.000,      1230        3D     7.800     9.450     0.000,
1231,12.000 ,9.450 ,0.000 ,      1231,        3D,    12.000,     9.450,     0.000,      1231        3D    12.000     9.450     0.000,
1232,12.450 ,9.450 ,0.000 ,      1232,        3D,    12.450,     9.450,     0.000,      1232        3D    12.450     9.450     0.000,
1233,12.900 ,9.450 ,0.000 ,      1233,        3D,    12.900,     9.450,     0.000,      1233        3D    12.900     9.450     0.000,
1234,13.350 ,9.450 ,0.000 ,      1234,        3D,    13.350,     9.450,     0.000,      1234        3D    13.350     9.450     0.000,
1235,13.800 ,9.450 ,0.000 ,      1235,        3D,    13.800,     9.450,     0.000,      1235        3D    13.800     9.450     0.000,
1236,18.000 ,9.450 ,0.000 ,      1236,        3D,    18.000,     9.450,     0.000,      1236        3D    18.000     9.450     0.000,
1237,18.450 ,9.450 ,0.000 ,      1237,        3D,    18.450,     9.450,     0.000,      1237        3D    18.450     9.450     0.000,
1238,18.900 ,9.450 ,0.000 ,      1238,        3D,    18.900,     9.450,     0.000,      1238        3D    18.900     9.450     0.000,
1239,19.350 ,9.450 ,0.000 ,      1239,        3D,    19.350,     9.450,     0.000,      1239        3D    19.350     9.450     0.000,
1240,19.800 ,9.450 ,0.000 ,      1240,        3D,    19.800,     9.450,     0.000,      1240        3D    19.800     9.450     0.000,
1241,0.000 ,9.900 ,0.000 ,      1241,        3D,     0.000,     9.900,     0.000,      1241        3D     0.000     9.900     0.000,
1242,0.450 ,9.900 ,0.000 ,      1242,        3D,     0.450,     9.900,     0.000,      1242        3D     0.450     9.900     0.000,
1243,0.900 ,9.900 ,0.000 ,      1243,        3D,     0.900,     9.900,     0.000,      1243        3D     0.900     9.900     0.000,
1244,1.350 ,9.900 ,0.000 ,      1244,        3D,     1.350,     9.900,     0.000,      1244        3D     1.350     9.900     0.000,
1245,1.800 ,9.900 ,0.000 ,      1245,        3D,     1.800,     9.900,     0.000,      1245        3D     1.800     9.900     0.000,
1246,6.000 ,9.900 ,0.000 ,      1246,        3D,     6.000,     9.900,     0.000,      1246        3D     6.000     9.900     0.000,
1247,6.450 ,9.900 ,0.000 ,      1247,        3D,     6.450,     9.900,     0.000,      1247        3D     6.450     9.900     0.000,
